category,Alsancak,KKTC,Girne
Thu Mar 01 2018,851.37,758.98,924.39
Fri Jun 01 2018,825.29,753.22,916.77
Sat Sep 01 2018,795.2,730.14,875.21
Sat Dec 01 2018,757.06,715.48,861.9
Fri Mar 01 2019,755.29,676.04,841.44
Sat Jun 01 2019,781.18,660.87,816.22
Sun Sep 01 2019,789.98,656.43,803.87
Sun Dec 01 2019,761.77,654.35,796.26
Sun Mar 01 2020,773.54,648.83,795.46
Mon Jun 01 2020,728.91,629.84,774.25
Tue Sep 01 2020,699.31,614.8,754.16
Tue Dec 01 2020,699.76,600.85,736.32
Mon Mar 01 2021,708.61,603.74,745.78
Tue Jun 01 2021,711.99,616.01,760.45
Wed Sep 01 2021,747.71,617.43,762.87
Wed Dec 01 2021,761.93,633.57,790.64
Tue Mar 01 2022,742.21,657.95,777.27
Wed Jun 01 2022,816.89,697.14,852.04
Thu Sep 01 2022,846.69,759.61,930.58
Thu Dec 01 2022,946.34,826.27,1039.58
Wed Mar 01 2023,1057.6,911.16,1157.71
Thu Jun 01 2023,1154.47,1004.13,1277.3
Fri Sep 01 2023,1286.34,1067.17,1350.69
Fri Dec 01 2023,1423.4,1113.42,1426.58
Fri Mar 01 2024,1536.51,1162.35,1433.5