category,GazimaÄŸusa,KKTC
Thu Mar 01 2018,603.79,758.98
Fri Jun 01 2018,604.8,753.22
Sat Sep 01 2018,587.39,730.14
Sat Dec 01 2018,574.77,715.48
Fri Mar 01 2019,549.96,676.04
Sat Jun 01 2019,529.21,660.87
Sun Sep 01 2019,540.53,656.43
Sun Dec 01 2019,539.96,654.35
Sun Mar 01 2020,521.77,648.83
Mon Jun 01 2020,503.54,629.84
Tue Sep 01 2020,503.95,614.8
Tue Dec 01 2020,506.05,600.85
Mon Mar 01 2021,511.54,603.74
Tue Jun 01 2021,530.15,616.01
Wed Sep 01 2021,514.92,617.43
Wed Dec 01 2021,537.11,633.57
Tue Mar 01 2022,523.61,657.95
Wed Jun 01 2022,580.87,697.14
Thu Sep 01 2022,633.82,759.61
Thu Dec 01 2022,672.17,826.27
Wed Mar 01 2023,750.76,911.16
Thu Jun 01 2023,838,1004.13
Fri Sep 01 2023,925.43,1067.17
Fri Dec 01 2023,1017.65,1113.42
Fri Mar 01 2024,1069.35,1162.35